assignment_date,employee_id,assignment_status,vehicle_id,vehicle_display_name,cargo_set_count,cargo_set_weight_kg,cargo_weight_kg,vehicle_empty_weight_kg,total_vehicle_weight_kg,battery_soc_pct,payload_kg,project_max_payload_kg,tire_pressure_bar,battery_usable_kwh,max_dc_charge_kw,default_soc_pct,weather_type,ambient_temp_C,hvac_mode,hvac_power_kw
2026-08-28,15458756,ASSIGNED,VOLVO_08,8호차 (Volvo FH),16,10.0,160.0,16500.0,16660.0,80.0,160.0,23500.0,8.8,460.0,350.0,90.0,cold,-6.3,OFF,0.0
2026-08-28,95945845,ASSIGNED,VOLVO_03,3호차 (Volvo FH),4,10.0,40.0,16500.0,16540.0,55.0,40.0,23500.0,8.5,460.0,350.0,90.0,cold,-5.7,HEATING,3.69
2026-08-28,15487554,ASSIGNED,VOLVO_07,7호차 (Volvo FH),7,10.0,70.0,16500.0,16570.0,50.0,70.0,23500.0,8.7,460.0,350.0,90.0,cold,-6.7,HEATING,4.1
2026-08-28,11111111,ASSIGNED,VOLVO_06,6호차 (Volvo FH),6,10.0,60.0,16500.0,16560.0,50.0,60.0,23500.0,9.2,460.0,350.0,90.0,normal,23.6,OFF,0.0
2026-08-28,22222222,ASSIGNED,VOLVO_10,10호차 (Volvo FH),8,10.0,80.0,16500.0,16580.0,55.0,80.0,23500.0,9.0,460.0,350.0,90.0,normal,21.8,OFF,0.0
2026-08-28,33333333,ASSIGNED,VOLVO_01,1호차 (Volvo FH),7,10.0,70.0,16500.0,16570.0,85.0,70.0,23500.0,9.1,460.0,350.0,90.0,hot,39.5,COOLING,3.83
2026-08-28,55555555,ASSIGNED,VOLVO_04,4호차 (Volvo FH),8,10.0,80.0,16500.0,16580.0,90.0,80.0,23500.0,8.6,460.0,350.0,90.0,cold,-7.6,HEATING,4.52
2026-08-28,44444444,ASSIGNED,VOLVO_09,9호차 (Volvo FH),7,10.0,70.0,16500.0,16570.0,85.0,70.0,23500.0,9.4,460.0,350.0,90.0,normal,19.1,OFF,0.0
2026-08-28,22222113,ASSIGNED,VOLVO_02,2호차 (Volvo FH),3,10.0,30.0,16500.0,16530.0,70.0,30.0,23500.0,9.3,460.0,350.0,90.0,hot,35.1,COOLING,3.85
2026-08-28,55555667,ASSIGNED,VOLVO_05,5호차 (Volvo FH),9,10.0,90.0,16500.0,16590.0,65.0,90.0,23500.0,8.9,460.0,350.0,90.0,cold,2.3,HEATING,4.97
2026-08-28,87789897,RESERVE,RESERVE_VEHICLE,예비차량,6,10.0,60.0,,,70.0,60.0,,,,,,normal,19.2,OFF,0.0
2026-08-28,65994945,RESERVE,RESERVE_VEHICLE,예비차량,9,10.0,90.0,,,85.0,90.0,,,,,,normal,23.3,OFF,0.0
