vehicle_id,display_name,model,battery_capacity_gross_kwh,battery_usable_kwh,max_dc_charge_kw,motor_power_kw,project_combination_empty_weight_kg,project_max_payload_kg,default_soc_pct,tire_pressure_bar,tire_reference_bar,vehicle_status,spec_note,volvo_spec_source,volvo_road_test_source,tractor_weight_reference_source,trailer_weight_reference_source,tire_pressure_reference_source
VOLVO_01,Volvo FH Electric 01호차,Volvo FH Electric,540,460,350,490,16500,23500,90,9.1,9.0,NORMAL,동일 FH Electric 프로젝트 차량. 차량 간 차이는 tire_pressure_bar만 사용.,https://www.volvotrucks.kr/ko-kr/trucks/electric/volvo-fh-electric.html,https://www.volvotrucks.com/en-en/news-stories/stories/2022/jan/volvo-fh-electric-excel-in-first-road-test.html,https://www.autoweek.nl/kentekencheck/25-BZB-1/,https://fliegl-trailer.com/fileadmin/presse/2023/10/fliegl-sds-390/gahr_en.pdf,https://business.michelin.co.uk/tyres/michelin-x-line-energy-z2-d2-22-5
VOLVO_02,Volvo FH Electric 02호차,Volvo FH Electric,540,460,350,490,16500,23500,90,9.3,9.0,NORMAL,동일 FH Electric 프로젝트 차량. 차량 간 차이는 tire_pressure_bar만 사용.,https://www.volvotrucks.kr/ko-kr/trucks/electric/volvo-fh-electric.html,https://www.volvotrucks.com/en-en/news-stories/stories/2022/jan/volvo-fh-electric-excel-in-first-road-test.html,https://www.autoweek.nl/kentekencheck/25-BZB-1/,https://fliegl-trailer.com/fileadmin/presse/2023/10/fliegl-sds-390/gahr_en.pdf,https://business.michelin.co.uk/tyres/michelin-x-line-energy-z2-d2-22-5
VOLVO_03,Volvo FH Electric 03호차,Volvo FH Electric,540,460,350,490,16500,23500,90,8.5,9.0,NORMAL,동일 FH Electric 프로젝트 차량. 차량 간 차이는 tire_pressure_bar만 사용.,https://www.volvotrucks.kr/ko-kr/trucks/electric/volvo-fh-electric.html,https://www.volvotrucks.com/en-en/news-stories/stories/2022/jan/volvo-fh-electric-excel-in-first-road-test.html,https://www.autoweek.nl/kentekencheck/25-BZB-1/,https://fliegl-trailer.com/fileadmin/presse/2023/10/fliegl-sds-390/gahr_en.pdf,https://business.michelin.co.uk/tyres/michelin-x-line-energy-z2-d2-22-5
VOLVO_04,Volvo FH Electric 04호차,Volvo FH Electric,540,460,350,490,16500,23500,90,8.6,9.0,NORMAL,동일 FH Electric 프로젝트 차량. 차량 간 차이는 tire_pressure_bar만 사용.,https://www.volvotrucks.kr/ko-kr/trucks/electric/volvo-fh-electric.html,https://www.volvotrucks.com/en-en/news-stories/stories/2022/jan/volvo-fh-electric-excel-in-first-road-test.html,https://www.autoweek.nl/kentekencheck/25-BZB-1/,https://fliegl-trailer.com/fileadmin/presse/2023/10/fliegl-sds-390/gahr_en.pdf,https://business.michelin.co.uk/tyres/michelin-x-line-energy-z2-d2-22-5
VOLVO_05,Volvo FH Electric 05호차,Volvo FH Electric,540,460,350,490,16500,23500,90,8.9,9.0,NORMAL,동일 FH Electric 프로젝트 차량. 차량 간 차이는 tire_pressure_bar만 사용.,https://www.volvotrucks.kr/ko-kr/trucks/electric/volvo-fh-electric.html,https://www.volvotrucks.com/en-en/news-stories/stories/2022/jan/volvo-fh-electric-excel-in-first-road-test.html,https://www.autoweek.nl/kentekencheck/25-BZB-1/,https://fliegl-trailer.com/fileadmin/presse/2023/10/fliegl-sds-390/gahr_en.pdf,https://business.michelin.co.uk/tyres/michelin-x-line-energy-z2-d2-22-5
VOLVO_06,Volvo FH Electric 06호차,Volvo FH Electric,540,460,350,490,16500,23500,90,9.2,9.0,NORMAL,동일 FH Electric 프로젝트 차량. 차량 간 차이는 tire_pressure_bar만 사용.,https://www.volvotrucks.kr/ko-kr/trucks/electric/volvo-fh-electric.html,https://www.volvotrucks.com/en-en/news-stories/stories/2022/jan/volvo-fh-electric-excel-in-first-road-test.html,https://www.autoweek.nl/kentekencheck/25-BZB-1/,https://fliegl-trailer.com/fileadmin/presse/2023/10/fliegl-sds-390/gahr_en.pdf,https://business.michelin.co.uk/tyres/michelin-x-line-energy-z2-d2-22-5
VOLVO_07,Volvo FH Electric 07호차,Volvo FH Electric,540,460,350,490,16500,23500,90,8.7,9.0,NORMAL,동일 FH Electric 프로젝트 차량. 차량 간 차이는 tire_pressure_bar만 사용.,https://www.volvotrucks.kr/ko-kr/trucks/electric/volvo-fh-electric.html,https://www.volvotrucks.com/en-en/news-stories/stories/2022/jan/volvo-fh-electric-excel-in-first-road-test.html,https://www.autoweek.nl/kentekencheck/25-BZB-1/,https://fliegl-trailer.com/fileadmin/presse/2023/10/fliegl-sds-390/gahr_en.pdf,https://business.michelin.co.uk/tyres/michelin-x-line-energy-z2-d2-22-5
VOLVO_08,Volvo FH Electric 08호차,Volvo FH Electric,540,460,350,490,16500,23500,90,8.8,9.0,NORMAL,동일 FH Electric 프로젝트 차량. 차량 간 차이는 tire_pressure_bar만 사용.,https://www.volvotrucks.kr/ko-kr/trucks/electric/volvo-fh-electric.html,https://www.volvotrucks.com/en-en/news-stories/stories/2022/jan/volvo-fh-electric-excel-in-first-road-test.html,https://www.autoweek.nl/kentekencheck/25-BZB-1/,https://fliegl-trailer.com/fileadmin/presse/2023/10/fliegl-sds-390/gahr_en.pdf,https://business.michelin.co.uk/tyres/michelin-x-line-energy-z2-d2-22-5
VOLVO_09,Volvo FH Electric 09호차,Volvo FH Electric,540,460,350,490,16500,23500,90,9.4,9.0,NORMAL,동일 FH Electric 프로젝트 차량. 차량 간 차이는 tire_pressure_bar만 사용.,https://www.volvotrucks.kr/ko-kr/trucks/electric/volvo-fh-electric.html,https://www.volvotrucks.com/en-en/news-stories/stories/2022/jan/volvo-fh-electric-excel-in-first-road-test.html,https://www.autoweek.nl/kentekencheck/25-BZB-1/,https://fliegl-trailer.com/fileadmin/presse/2023/10/fliegl-sds-390/gahr_en.pdf,https://business.michelin.co.uk/tyres/michelin-x-line-energy-z2-d2-22-5
VOLVO_10,Volvo FH Electric 10호차,Volvo FH Electric,540,460,350,490,16500,23500,90,9.0,9.0,NORMAL,동일 FH Electric 프로젝트 차량. 차량 간 차이는 tire_pressure_bar만 사용.,https://www.volvotrucks.kr/ko-kr/trucks/electric/volvo-fh-electric.html,https://www.volvotrucks.com/en-en/news-stories/stories/2022/jan/volvo-fh-electric-excel-in-first-road-test.html,https://www.autoweek.nl/kentekencheck/25-BZB-1/,https://fliegl-trailer.com/fileadmin/presse/2023/10/fliegl-sds-390/gahr_en.pdf,https://business.michelin.co.uk/tyres/michelin-x-line-energy-z2-d2-22-5
